alias,Condition 1,Condition 2,Condition 3,Condition 4,Condition 5,Condition 6,Condition 7,Condition 8,Condition 9,Condition 10,Condition 11,Condition 12,Condition 13,Condition 14,systematic_name,description,short_description,secretome,other_criterion,color
YDL176W,9.18,2.73,12.14,5.8,6.83,6.21,8.18,6.29,7.36,4.17,9.58,4.77,10.11,5.37,YDL176W,"Protein of unknown function; predicted by computational methods to be involved in fructose-1,6-bisphosphatase (Fbp1p) degradation; interacts with components of the GID complex; YDL176W is not an essential gene",Protein of unknown function; predicted b...,False,True,blue
RBS1,28.7,6.86,34.74,14.68,27.83,27.97,28.12,16.21,27.55,12.33,27.75,12.99,32.64,12.92,YDL189W,Protein of unknown function; identified as a high copy suppressor of psk1 psk2 mutations that confer temperature-sensitivity for galactose utilization; proposed to bind single-stranded nucleic acids via its R3H domain,Protein of unknown function; identified ...,False,False,blue
MRPL11,47.28,20.68,54.37,29.71,37.2,37.41,42.9,34.57,45.94,22.79,46.61,26.95,45.46,27.77,YDL202W,Mitochondrial ribosomal protein of the large subunit; localizes to vacuole in response to H2O2,Mitochondrial ribosomal protein of the l...,False,True,blue
PRR2,0.32,0.25,1.57,0.51,0.3,0.25,0.22,0.14,0.36,0.08,0.34,0.36,0.73,0.05,YDL214C,"Serine/threonine protein kinase; inhibits pheromone induced signalling downstream of MAPK, possibly at the level of the Ste12p transcription factor; mutant has increased aneuploidy tolerance; PRR2 has a paralog, NPR1, that arose from the whole genome duplication",Serine/threonine protein kinase; inhibit...,False,False,blue
HO,74.35,24.12,87.35,36.17,67.23,68.53,71.91,50.57,68.06,29.48,79.47,33.2,86.23,44.28,YDL227C,"Site-specific endonuclease; required for gene conversion at the MAT locus (homothallic switching) through the generation of a ds DNA break; expression restricted to mother cells in late G1 as controlled by Swi4p-Swi6p, Swi5p, and Ash1p",Site-specific endonuclease; required for...,False,True,blue
LRG1,12.69,3.58,19.51,8.29,11.86,10.9,12.34,8.81,11.08,5.64,12.33,5.35,17.91,9.41,YDL240W,"GTPase-activating protein (GAP); contains Rho1p-specific GAP activity, interacting with activated forms of Rho1p; functions along with Sac7p as a negative regulator of the Pkc1p-mediated cell wall integrity signaling pathway; negative regulator of cell wall 1,3-beta-glucan biosynthesis; required for efficient cell fusion; contains a RhoGAP domain and three Lin-11-Isl1-Mec-3 (LIM) domains",GTPase-activating protein (GAP); contain...,False,False,blue
MAF1,18.96,5.91,26.3,11.79,17.09,16.13,17.6,12.08,14.67,6.15,20.95,11.55,22.38,9.46,YDR005C,"Highly conserved negative regulator of RNA polymerase III; involved in tRNA processing and stability; inhibits tRNA degradation via rapid tRNA decay (RTD) pathway; binds N-terminal domain of Rpc160p subunit of Pol III to prevent closed-complex formation; localization and activity are regulated by phosphorylation, mediated by TORC1, protein kinase A, and Sch9p; localizes to cytoplasm during vegetative growth and translocates to nucleus and nucleolus under stress conditions",Highly conserved negative regulator of R...,False,True,blue
GCV1,54.43,15.35,94,35.47,21.56,22.52,26.09,20.11,23.55,10.9,34.37,16.79,43.17,23.36,YDR019C,"T subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of levels of 5,10-methylene-THF in the cytoplasm",T subunit of the mitochondrial glycine d...,False,False,blue
MRH1,784.35,4660.92,777.07,3542.32,744.07,606.73,954.01,2743.95,716.29,2801.09,920.02,2138.4,564.43,1677.63,YDR033W,"Protein that localizes primarily to the plasma membrane; also found at the nuclear envelope; the authentic, non-tagged protein is detected in mitochondria in a phosphorylated state; MRH1 has a paralog, YRO2, that arose from the whole genome duplication",Protein that localizes primarily to the ...,True,True,blue
NRG1,55.37,19.56,118.15,54.52,29.24,27.74,27.52,19.12,21.72,12.1,54.57,37.23,73.14,29.25,YDR043C,"Transcriptional repressor; recruits the Cyc8p-Tup1p complex to promoters; mediates glucose repression and negatively regulates a variety of processes including filamentous growth and alkaline pH response; NRG1 has a paralog, NRG2, that arose from the whole genome duplication",Transcriptional repressor; recruits the ...,False,False,blue
YOS9,19.14,82.83,26.68,108.32,18.49,17.36,21.11,65.98,20.3,123.4,20.42,118.26,22.32,73.26,YDR057W,"ER quality-control lectin; integral subunit of the HRD ligase; participates in efficient ER retention of misfolded proteins by recognizing them and delivering them to Hrd1p; binds to glycans with terminal alpha-1,6 linked mannose on misfolded N-glycosylated proteins and participates in targeting proteins to ERAD; member of the OS-9 protein family",ER quality-control lectin; integral subu...,True,True,blue
DOA4,9.24,3.1,15.11,5.5,8.63,7.5,9.43,6.29,6.92,3.9,8.78,3.79,12.79,5.65,YDR069C,"Ubiquitin hydrolase that deubiquitinates ILV cargo proteins; required for recycling ubiquitin from proteasome-bound ubiquitinated intermediates, acts at the late endosome/prevacuolar compartment to recover ubiquitin from ubiquitinated membrane proteins en route to the vacuole; DOA4 has a paralog, UBP5, that arose from the whole genome duplication",Ubiquitin hydrolase that deubiquitinates...,False,False,blue
VPS41,13.26,3.24,17.52,6.11,12.11,11.51,13.48,8.54,11.56,6.22,13.55,9.2,15.86,8.53,YDR080W,Vacuolar membrane protein that is a subunit of the HOPS complex; essential for membrane docking and fusion at the Golgi-to-endosome and endosome-to-vacuole stages of protein transport; the homotypic vacuole fusion and vacuole protein sorting complex is also known as the HOPS complex,Vacuolar membrane protein that is a subu...,False,True,blue
UBC13,143.77,44.06,184.23,83.97,127.34,135.91,134.85,86.34,112.28,63.39,124.63,72.71,150.91,66.14,YDR092W,E2 ubiquitin-conjugating enzyme; involved in the error-free DNA postreplication repair pathway; interacts with Mms2p to assemble ubiquitin chains at the Ub Lys-63 residue; DNA damage triggers redistribution from the cytoplasm to the nucleus,E2 ubiquitin-conjugating enzyme; involve...,False,False,blue
TMN2,28.15,175.13,40.14,247.65,23.8,21.8,26.09,91.47,21.58,145.12,25.08,126.05,30.82,138.48,YDR107C,"Protein with a role in cellular adhesion and filamentous growth; similar to Tmn3p; member of the evolutionarily conserved Transmembrane Nine family of proteins with nine membrane-spanning segments; TMN2 has a paralog, EMP70, that arose from the whole genome duplication",Protein with a role in cellular adhesion...,True,True,blue
COX26,6.38,3.09,28.51,14.59,2.59,3.38,3,1.7,1.05,1.73,2.41,1.89,8.01,3.73,YDR119W-A,Putative protein of unknown function; copurifies with respiratory chain supercomplexes composed of Complex III (ubiquinol-cytochrome c reductase) and Complex IV (cytochrome c oxidase),Putative protein of unknown function; co...,True,False,blue
YDR131C,7.71,3.04,12.33,6.23,5.53,4.62,7.15,4.35,6.04,3.45,8.4,3.67,9.97,6.93,YDR131C,F-box protein subunit of SCF ubiquitin ligase complex; substrate-specific adaptor subunit that recruits substrates to a core ubiquitination complex,F-box protein subunit of SCF ubiquitin l...,False,True,blue
SWI5,42.72,10.92,66.6,23.79,32.58,36.18,37.68,21.98,31.42,14.73,43.9,21.99,45.74,17.36,YDR146C,"Transcription factor that recruits Mediator and Swi/Snf complexes; activates transcription of genes expressed at the M/G1 phase boundary and in G1 phase; required for expression of the HO gene controlling mating type switching; localization to nucleus occurs during G1 and appears to be regulated by phosphorylation by Cdc28p kinase; SWI5 has a paralog, ACE2, that arose from the whole genome duplication",Transcription factor that recruits Media...,False,False,blue
YDR161W,51.73,16.47,34.84,13.34,56.64,62.51,67.71,43.72,66.18,30.05,65.2,26.83,37.35,18.04,YDR161W,Putative protein of unknown function; non-essential gene; proposed function in rRNA and ribosome biosynthesis based on transcriptional co-regulation; genetic interactions suggest a role in ER-associated protein degradation (ERAD),Putative protein of unknown function; no...,False,True,blue
SUP35,235.65,53.46,200.35,62.73,238.82,250.96,265.4,159.9,275.87,96.68,274.8,100.86,220.84,97.04,YDR172W,Translation termination factor eRF3; has a role in mRNA deadenylation and decay; altered protein conformation creates the [PSI(+)] prion that alters translational fidelity and results in a nonsense suppressor phenotype,Translation termination factor eRF3; has...,False,False,blue
YDR182W-A,0.5,1.39,1.64,1.36,0.56,0.13,0,1.19,0.74,3.63,0.74,1.84,1.17,1.29,YDR182W-A,Putative protein of unknown function; identified by fungal homology and RT-PCR,Putative protein of unknown function; id...,True,True,blue
REF2,22.05,5.36,20.06,8.99,19.77,20.69,19.62,11.49,17.06,7.85,20.59,9.06,18.92,9.24,YDR195W,"RNA-binding protein; involved in the cleavage step of mRNA 3'-end formation prior to polyadenylation, and in snoRNA maturation; part of holo-CPF subcomplex APT, which associates with 3'-ends of snoRNA- and mRNA-encoding genes; relocalizes to the cytosol in response to hypoxia",RNA-binding protein; involved in the cle...,False,False,blue
YDR210W,291.86,117.16,374.91,187.44,232.63,245.98,233.23,136.53,222.2,106.53,253.41,170.21,326.27,166.99,YDR210W,Predicted tail-anchored plasma membrane protein; contains a conserved CYSTM module; related proteins in other organisms may be involved in response to stress; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery,Predicted tail-anchored plasma membrane ...,False,True,blue
HTB1,1767.74,586.36,1770.07,851.01,1376.81,1584.52,1378.08,837.7,1322.61,606.07,1673.73,1067.05,1323.57,634.9,YDR224C,"Histone H2B; core histone protein required for chromatin assembly and chromosome function; nearly identical to HTB2; Rad6p-Bre1p-Lge1p mediated ubiquitination regulates reassembly after DNA replication, transcriptional activation, meiotic DSB formation and H3 methylation",Histone H2B; core histone protein requir...,False,False,blue
MRPL7,41.65,11.08,52.44,20.68,35.22,36.9,42.42,25.81,36.49,18.42,40.91,18.79,39.95,18.61,YDR237W,"Mitochondrial ribosomal protein of the large subunit; MRPL7 produces both YmL5 and YmL7, which are two different modified forms of the same protein",Mitochondrial ribosomal protein of the l...,False,True,blue
YDR249C,4.93,1.36,9.11,4.25,4.35,3.62,4.66,3.04,5.07,2.4,5.17,3.29,6.69,2.71,YDR249C,Putative protein of unknown function,Putative protein of unknown function,False,False,blue
YDR262W,58.06,207.66,84.51,335.27,45.95,45.74,43.94,124.09,45.8,265.15,58.74,352.11,58.11,214.52,YDR262W,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole and is induced in response to the DNA-damaging agent MMS; gene expression increases in response to Zymoliase treatment,Putative protein of unknown function; gr...,True,True,blue
MTH1,4.85,0.86,9.53,2.9,4.24,5.08,3.34,2.49,3.9,2,5.24,2.79,5.21,3.05,YDR277C,"Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication",Negative regulator of the glucose-sensin...,False,False,blue
HRQ1,6.14,1.35,9.24,3.15,5.44,5.61,7.6,5.67,7.15,4.09,6.86,3.94,8.07,5.1,YDR291W,3'-5' DNA helicase that has DNA strand annealing activity; helicase activity is stimulated by fork structure and 3'-tail length of substrates; belongs to the widely conserved RecQ family of proteins which are involved in maintaining genomic integrity; similar to the human RecQ4p implicated in Rothmund-Thomson syndrome (RTS),3'-5' DNA helicase that has DNA strand a...,False,True,blue
RSC3,35.34,8.13,40.44,14.07,31.95,28.32,33.01,22.69,28.41,19.34,34.24,18.67,39.7,25.69,YDR303C,"Component of the RSC chromatin remodeling complex; essential gene required for maintenance of proper ploidy and regulation of ribosomal protein genes and the cell wall/stress response; RSC3 has a paralog, RSC30, that arose from the whole genome duplication",Component of the RSC chromatin remodelin...,False,False,blue
IPK1,7.71,3.97,17.75,8.8,7.61,7.81,8.68,7.08,6.84,4.53,8.04,3.77,15.06,7.54,YDR315C,"Inositol 1,3,4,5,6-pentakisphosphate 2-kinase; nuclear protein required for synthesis of 1,2,3,4,5,6-hexakisphosphate (phytate), which is integral to cell function; has 2 motifs conserved in other fungi; ipk1 gle1 double mutant is inviable","Inositol 1,3,4,5,6-pentakisphosphate 2-k...",False,True,blue
YCG1,13.23,3.11,15.2,6.43,10.38,10.24,13.3,9.29,10.15,4.79,13.18,4.58,15.41,8.49,YDR325W,"Subunit of the condensin complex; required for establishment and maintenance of chromosome condensation, chromosome segregation and chromatin binding of the condensin complex; required for clustering of tRNA genes at the nucleolus; required for replication slow zone (RSZ) breakage following Mec1p inactivation",Subunit of the condensin complex; requir...,False,False,blue
YDR338C,10.24,21.53,12.61,22.39,8.58,7.86,8.43,13.03,8.85,14.84,9.35,10.66,11.19,14.41,YDR338C,Putative protein of unknown function; member of the multi-drug and toxin extrusion (MATE) family of the multidrug/oligosaccharidyl-lipid/polysaccharide (MOP) exporter superfamily,Putative protein of unknown function; me...,True,True,blue
YPQ2,32.6,98.38,48.96,88.37,27.92,28.27,28.9,59.02,22.84,94.87,34.94,86.24,36.87,85.22,YDR352W,"Putative vacuolar membrane transporter for cationic amino acids; likely contributes to amino acid homeostasis by exporting cationic amino acids from the vacuole; member of the PQ-loop family, with seven transmembrane domains; mutant phenotype is functionally complemented by rat PQLC2 vacuolar transporter",Putative vacuolar membrane transporter f...,True,False,blue
ESF1,37.05,5.78,17.82,6.12,41.58,42.55,48.75,27.46,56.67,18.22,49.41,16.89,24.75,11.23,YDR365C,Nucleolar protein involved in pre-rRNA processing; depletion causes severely decreased 18S rRNA levels,Nucleolar protein involved in pre-rRNA p...,False,True,blue
ARH1,24.58,6.9,30.86,13.92,19.66,17.74,22.31,15.94,21.5,11.96,22.32,9.63,29.55,19.7,YDR376W,Oxidoreductase of the mitochondrial inner membrane; involved in cytoplasmic and mitochondrial iron homeostasis and required for activity of Fe-S cluster-containing enzymes; one of the few mitochondrial proteins essential for viability,Oxidoreductase of the mitochondrial inne...,False,False,blue
MUS81,8.69,2.21,13.5,4.41,6.32,6,7.59,4.31,5.76,3.29,9.12,3.9,11.57,5.94,YDR386W,"Subunit of structure-specific Mms4p-Mus81p endonuclease; cleaves branched DNA; involved in DNA repair, replication fork stability, and joint molecule formation/resolution during meiotic recombination; promotes template switching during break-induced replication (BIR), causing non-reciprocal translocations (NRTs); helix-hairpin-helix protein; phosphorylation of non-catalytic subunit Mms4p by Cdc28p and Cdcp during mitotic cell cycle activates function of Mms4p-Mus81p",Subunit of structure-specific Mms4p-Mus8...,False,True,blue
HPT1,84.46,26.98,52.28,25.07,74.82,69.02,96.33,59.67,95.15,43.61,112.19,68.08,39.61,22.72,YDR399W,Dimeric hypoxanthine-guanine phosphoribosyltransferase; catalyzes the transfer of the phosphoribosyl portion of 5-phosphoribosyl-alpha-1-pyrophosphate to a purine base (either guanine or hypoxanthine) to form pyrophosphate and a purine nucleotide (either guanosine monophosphate or inosine monophosphate); mutations in the human homolog HPRT1 can cause Lesch-Nyhan syndrome and Kelley-Seegmiller syndrome,Dimeric hypoxanthine-guanine phosphoribo...,False,False,blue
RRP17,46.67,12.14,40.17,18.11,45.93,49.91,57.19,33.7,57.34,23.74,54.41,27.82,41.59,17.11,YDR412W,Component of the pre-60S pre-ribosomal particle; required for cell viability under standard (aerobic) conditions but not under anaerobic conditions; exonuclease required for 5&#8242; end processing of pre-60S ribosomal RNA,Component of the pre-60S pre-ribosomal p...,False,True,green
RPN9,168.38,39.81,217.57,79.74,137.76,135.86,156.19,99.39,119.1,58.32,149.7,60.1,207.42,86.22,YDR427W,Non-ATPase regulatory subunit of the 26S proteasome; similar to putative proteasomal subunits in other species; null mutant is temperature sensitive and exhibits cell cycle and proteasome assembly defects; protein abundance increases in response to DNA replication stress; relocalizes to the cytosol in response to hypoxia,Non-ATPase regulatory subunit of the 26S...,False,False,green
APT2,27.05,9.38,29.72,13.32,23.79,23.44,21.85,15.18,22.08,11.38,26.24,13.5,30.55,13.94,YDR441C,"Potential adenine phosphoribosyltransferase; encodes a protein with similarity to adenine phosphoribosyltransferase, but artificially expressed protein exhibits no enzymatic activity; APT2 has a paralog, APT1, that arose from the whole genome duplication",Potential adenine phosphoribosyltransfer...,False,True,green
NHX1,42.37,216.42,47.18,217.08,40.81,38.47,44.95,114.94,34.86,125.35,42.05,100.27,44.15,108.73,YDR456W,"Na+/H+ and K+/H+ exchanger; required for intracellular sequestration of Na+ and K+; located in the vacuole and late endosome compartments; required for osmotolerance to acute hypertonic shock and for vacuolar fusion; ortholog of human NHE9, which is linked to autism",Na+/H+ and K+/H+ exchanger; required for...,True,False,green
TLG1,47.63,10.8,68.04,29.95,37.33,41.55,47.55,26.86,44.76,18.84,47.66,26.3,60.83,23.98,YDR468C,Essential t-SNARE that mediates fusion of vesicles with the late Golgi; forms a complex with Tlg2p and Vti1p; mediates fusion of endosome-derived vesicles with the late Golgi; binds the docking complex VFT (Vps fifty-three) through interaction with Vps51p,Essential t-SNARE that mediates fusion o...,True,True,green
PHO8,53.6,341.42,83.39,343.61,55.38,49.99,52.67,155.94,57.61,312.26,56.76,255.19,72.39,256.13,YDR481C,"Repressible vacuolar alkaline phosphatase; regulated by levels of Pi and by Pho4p, Pho9p, Pho80p, Pho81p and Pho85p; dephosphorylates phosphotyrosyl peptides; contributes to NAD+ metabolism by producing nicotinamide riboside from NMN",Repressible vacuolar alkaline phosphatas...,True,False,green
RSM28,35.08,9.77,42.94,18.96,29.49,28.58,33.51,20.1,29.06,13.84,32.57,17.2,33.56,15.66,YDR494W,Mitochondrial ribosomal protein of the small subunit; genetic interactions suggest a possible role in promoting translation initiation,Mitochondrial ribosomal protein of the s...,False,True,green
GMC1,9.42,40.9,16.99,44.91,9.19,8.85,8.82,18.02,8.85,41.51,9.8,48.08,15.36,39.64,YDR506C,Protein involved in meiotic progression; mutants are delayed in meiotic nuclear division and are defective in synaptonemal complex assembly; possible membrane-localized protein,Protein involved in meiotic progression;...,False,False,green
FPR2,135.8,292.27,161.56,286.82,101.6,96.04,133.92,224.69,107.15,435.43,117.72,450.81,153.92,502.94,YDR519W,Membrane-bound peptidyl-prolyl cis-trans isomerase (PPIase); binds to the drugs FK506 and rapamycin; expression pattern suggests possible involvement in ER protein trafficking; relocalizes from nucleus to vacuole upon DNA replication stress,Membrane-bound peptidyl-prolyl cis-trans...,True,True,green
CAB1,53.42,17.9,68.84,28.44,50.33,50.87,54.52,34.92,45.4,22.26,50.23,21.36,58.01,30.64,YDR531W,"Pantothenate kinase, ATP:D-pantothenate 4'-phosphotransferase; catalyzes the first committed step in the universal biosynthetic pathway for synthesis of coenzyme A (CoA); transcriptionally regulated by Upc2p via a sterol response element","Pantothenate kinase, ATP:D-pantothenate ...",False,False,green
WBP1,178.23,1237.6,202.73,1524.42,185.23,180.27,178.77,654.64,175.92,1473.32,185.11,1839.14,201.6,1129.58,YEL002C,Beta subunit of the oligosaccharyl transferase glycoprotein complex; required for N-linked glycosylation of proteins in the endoplasmic reticulum,Beta subunit of the oligosaccharyl trans...,True,True,green
GTT3,62.13,101.86,69.81,118.05,56.34,55.77,54.66,63.26,43.49,91.17,48.18,109.71,56.1,99.75,YEL017W,Protein of unknown function may be involved in glutathione metabolism; function suggested by computational analysis of large-scale protein-protein interaction data; GFP-fusion protein localizes to the nuclear periphery,Protein of unknown function may be invol...,True,False,green
VMA3,1690.24,6734.28,1571.03,5602.31,1407.52,1369.25,1520.2,3295.97,1305.66,4311.02,1363.25,4149.71,1228.35,3496.09,YEL027W,Proteolipid subunit c of the V0 domain of vacuolar H(+)-ATPase; dicyclohexylcarbodiimide binding subunit; required for vacuolar acidification and important for copper and iron metal ion homeostasis,Proteolipid subunit c of the V0 domain o...,True,True,green
UTR2,351.99,2229.05,301.54,1467.48,359.06,315.8,343.2,1078.12,354.71,2365.47,352.65,2323.62,347.49,1637.52,YEL040W,Chitin transglycosylase; functions in the transfer of chitin to beta(1-6) and beta(1-3) glucans in the cell wall; similar to and functionally redundant with Crh1; glycosylphosphatidylinositol (GPI)-anchored protein localized to bud neck,Chitin transglycosylase; functions in th...,True,False,green
MAK10,10.33,3.75,11.42,4.89,9.29,8.47,11.1,8.06,9.36,7.69,10.46,7.09,11.33,7.77,YEL053C,Non-catalytic subunit of N-terminal acetyltransferase of the NatC type; required for replication of dsRNA virus; expression is glucose-repressible,Non-catalytic subunit of N-terminal acet...,False,True,green
SIT1,54.39,238.59,78.74,360.29,54.34,44.86,92.04,232.23,31.37,70.93,50.76,74.96,50.43,93.67,YEL065W,Ferrioxamine B transporter; member of the ARN family of transporters that specifically recognize siderophore-iron chelates; transcription is induced during iron deprivation and diauxic shift; potentially phosphorylated by Cdc28p,Ferrioxamine B transporter; member of th...,True,False,green
Y' element ATP-dependent helicase,0.01,0,0.01,0,0.03,0,0,0,0,0,0.01,0.01,0.02,0.03,YEL077C,Helicase-like protein encoded within the telomeric Y' element,Helicase-like protein encoded within the...,False,True,green
YER010C,39.84,14.5,58.35,27.01,41.15,37.37,35.46,27.95,27.57,15.03,37.48,19.7,48.5,26.84,YER010C,Bifunctional HMG aldolase/oxaloacetate decarboxylase; requires divalent metal ions for activity; competitively inhibited by oxalate; forms a ring-shaped homotrimer; similar to members of the prokaryotic RraA family of class II (divalent metal ion dependent) pyruvate aldolases from the meta cleavage pathways of protocatechuate and gallate,Bifunctional HMG aldolase/oxaloacetate d...,False,False,green
GPA2,25.27,20.6,40.06,30.63,20.61,22.1,19.88,19.25,21.33,34.42,18.63,49.12,36.44,48.11,YER020W,"Nucleotide binding alpha subunit of the heterotrimeric G protein; interacts with the receptor Gpr1p, has signaling role in response to nutrients; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery",Nucleotide binding alpha subunit of the ...,False,True,green
FIR1,14.28,3.3,19.27,7.72,14.68,14.68,13.92,8.68,13.81,5.4,13.76,6.56,17.72,8.34,YER032W,Protein involved in 3' mRNA processing; interacts with Ref2p; APCC(Cdh1) substrate; potential Cdc28p substrate,Protein involved in 3' mRNA processing; ...,False,False,green
MXR1,98.3,20.32,67.43,25.4,108.9,123.93,138.54,85.22,112.37,52.26,98.46,43.16,71.32,29.71,YER042W,Methionine-S-sulfoxide reductase; involved in the response to oxidative stress; protects iron-sulfur clusters from oxidative inactivation along with MXR2; involved in the regulation of lifespan; reduced activity of human homolog implicated in Alzheimer disease,Methionine-S-sulfoxide reductase; involv...,False,True,green
HOM3,112.57,35.98,183.02,77.18,115.16,113.69,116.12,73.39,111.86,47.78,114.93,45.37,122.46,66.76,YER052C,Aspartate kinase (L-aspartate 4-P-transferase); cytoplasmic enzyme that catalyzes the first step in the common pathway for methionine and threonine biosynthesis; expression regulated by Gcn4p and the general control of amino acid synthesis,Aspartate kinase (L-aspartate 4-P-transf...,False,False,green
CEM1,9.28,3.07,15.42,5.69,8.26,7.89,10.66,7.24,10.93,5.11,10.43,3.76,11.87,6.89,YER061C,Mitochondrial beta-keto-acyl synthase; possible role in fatty acid synthesis; required for mitochondrial respiration,Mitochondrial beta-keto-acyl synthase; p...,False,True,green
ALD5,98.08,30.31,129.61,56.93,72.09,69.27,93.12,67.76,101.73,47.18,66.46,28.51,105.52,64.73,YER073W,Mitochondrial aldehyde dehydrogenase; involved in regulation or biosynthesis of electron transport chain components and acetate formation; activated by K+; utilizes NADP+ as the preferred coenzyme; constitutively expressed,Mitochondrial aldehyde dehydrogenase; in...,False,False,green
GET2,114.94,110.78,114.45,110.48,109.66,104.7,111.56,110.05,104,233.2,95.72,252.4,100.95,180.93,YER083C,Subunit of the GET complex; involved in insertion of proteins into the ER membrane; required for the retrieval of HDEL proteins from the Golgi to the ER in an ERD2 dependent fashion and for meiotic nuclear division,Subunit of the GET complex; involved in ...,True,True,green
AIM11,17.29,5.4,23.64,15.46,14.57,14.44,14.72,9.91,13.36,21.03,14.78,31.5,19.82,24.72,YER093C-A,"Protein of unknown function; null mutant is viable but shows increased loss of mitochondrial genome and synthetic interaction with prohibitin (phb1); contains an intron; YER093C-A has a paralog, YBL059W, that arose from the whole genome duplication",Protein of unknown function; null mutant...,True,False,green
MAM1,0.93,0.18,0.92,0.33,0.44,0.31,0.64,0.3,0.73,0.61,0.95,0.66,0.43,0.29,YER106W,Monopolin; kinetochore associated protein involved in chromosome attachment to meiotic spindle,Monopolin; kinetochore associated protei...,False,True,green
AVT6,42.55,271.14,68.81,272.49,39.66,36.86,36.45,125.93,35.81,118.61,35.74,86.79,53.37,149.62,YER119C,"Vacuolar aspartate and glutamate exporter; member of a family of seven genes (AVT1-7) related to vesicular GABA-glycine transporters; involved in compartmentalizing acidic amino acids in response to nitrogen starvation; AVT6 has a paralog, AVT5, that arose from the whole genome duplication",Vacuolar aspartate and glutamate exporte...,True,False,green
RPS26B,1060.75,280.21,661.49,318.27,1035.07,1085.07,1099.19,731.17,1178.14,466.53,1015.09,610.95,753.61,392.75,YER131W,"Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S26, no bacterial homolog; RPS26B has a paralog, RPS26A, that arose from the whole genome duplication",Protein component of the small (40S) rib...,False,True,green
UBP5,6.71,1.87,11.99,4.73,6.21,6.53,6.67,3.98,6.47,3.21,6.9,2.44,12.43,7.45,YER144C,"Putative ubiquitin-specific protease; concentrates at the bud neck; UBP5 has a paralog, DOA4, that arose from the whole genome duplication",Putative ubiquitin-specific protease; co...,False,False,green
YER156C,140.47,48.16,101.68,39.64,148.24,154.21,145.7,93.68,156.34,63.54,169.85,74.11,124.55,70.32,YER156C,"Putative protein of unknown function; interacts with Hsp82p and copurifies with Ipl1p; expression is copper responsive and downregulated in strains deleted for MAC1, a copper-responsive transcription factor; similarity to mammalian MYG1",Putative protein of unknown function; in...,False,True,green
RPH1,11.27,2.04,12.9,3.82,10.98,11.03,11.01,6.65,10.28,4.07,12.58,5.29,8.87,4.27,YER169W,"JmjC domain-containing histone demethylase; specifically demethylates H3K36 tri- and dimethyl modification states; associates with actively transcribed (RNAP II) regions in vivo and specifically targets H3K36 in its trimethylation state as its substrate; transcriptional repressor of PHR1; Rph1p phosphorylation during DNA damage is under control of the MEC1-RAD53 pathway; target of stess-induced hormesis; RPH1 has a paralog, GIS1, that arose from the whole genome duplication",JmjC domain-containing histone demethyla...,False,False,green
ISC10,0.31,0,0.32,0.65,0.14,0.05,0.14,0.06,0,0,0.17,0,0.33,0.12,YER180C,"Protein required for sporulation; transcript is induced 7.5 hours after induction of meiosis, expected to play significant role in the formation of reproductive cells",Protein required for sporulation; transc...,False,True,green
BLM10,27.12,8.42,25.97,9.8,28.02,22.25,31.25,23.59,28.65,13.54,26.43,6.96,33.44,20.61,YFL007W,"Proteasome activator; binds the core proteasome (CP) and stimulates proteasome-mediated protein degradation by inducing gate opening; required for sequestering CP into proteasome storage granule (PSG) during quiescent phase and for nuclear import of CP in proliferating cells; required for resistance to bleomycin, may be involved in protecting against oxidative damage; similar to mammalian PA200",Proteasome activator; binds the core pro...,False,False,green
LPD1,249.62,72.89,296.59,104.75,230.01,223.11,238.42,158.26,234.75,96.72,253.68,100.55,310.49,162.66,YFL018C,"Dihydrolipoamide dehydrogenase; the lipoamide dehydrogenase component (E3) of the pyruvate dehydrogenase and 2-oxoglutarate dehydrogenase multi-enzyme complexes; LPD1 has a paralog, IRC15, that arose from the whole genome duplication",Dihydrolipoamide dehydrogenase; the lipo...,False,True,green
HAC1,23.31,7.42,47.92,21.04,16.01,17.96,28.12,19.91,30.45,13.85,27.69,16.87,98.87,49.24,YFL031W,"Basic leucine zipper (bZIP) transcription factor (ATF/CREB1 homolog); regulates the unfolded protein response, via UPRE binding, and membrane biogenesis; ER stress-induced splicing pathway facilitates efficient Hac1p synthesis; protein abundance increases in response to DNA replication stress",Basic leucine zipper (bZIP) transcriptio...,False,False,green
YFL043C,12.85,2.9,15.42,5.88,12.96,12.18,14.22,9.79,12.91,4.48,11.93,5.29,13.89,6.81,YFL042C,"Putative protein of unknown function; not an essential gene; YFL042C has a paralog, YLR072W, that arose from the whole genome duplication",Putative protein of unknown function; no...,True,True,green
